,0,1
21,32.97740446303055,-115.63742044236048
27,37.06190800997364,-120.57916057759408
35,38.54534966895174,-120.74683142570404
51,36.15085412643041,-120.3159997202648
73,34.198446658404755,-118.3900586976867
76,34.03003724569207,-117.14225076395512
77,37.43986360234706,-122.33997725410504
92,35.927069875610584,-116.00770426849591
97,39.20873367060974,-121.58449631741496
122,38.09905627817584,-120.87829635429225
151,41.338618664291495,-120.5118670685204
159,40.91389270645239,-121.22594488854854
197,33.09691242775287,-115.38934501243638
205,36.48789727123791,-120.08304288143248
217,36.428371991489016,-119.19481221821756
287,37.16874946804364,-119.28956952727744
321,39.49315888676633,-121.82290396106256
361,38.642189949539045,-121.17753090429665
368,40.58613146242595,-123.85119082739502
382,40.24131358932747,-120.4532622973596
435,34.7886678092722,-120.32753960161324
436,38.32093262257607,-121.63057876077582
437,35.51245116377108,-120.08482420056204
457,37.00475883742482,-121.85951120071924
481,40.08623476104655,-122.39387929421156
497,40.280502554618906,-122.32923762845286
506,37.334874863912255,-120.84669328399248
523,36.484167783824056,-119.88737743014696
558,38.36732417077469,-122.6510515707342
562,38.79355033787861,-121.80910183169206
594,40.72998864636835,-123.2774220848998
617,38.34572499096173,-121.71267598187274
632,35.667074980818136,-119.24798407593858
639,39.56450649221791,-120.71844976667626
644,36.136837760890366,-120.30095257018009
648,36.82093129635917,-118.9599509811786
672,33.59164412862543,-114.90112291484928
674,35.137316412743544,-120.58947194526952
679,40.58915785436382,-122.21351519466
680,36.54330260993741,-119.66477689888193
683,33.84548970795778,-116.40140029122846
688,36.60731712949575,-119.55697307828058
690,39.33404711002036,-121.0734163815548
706,38.60990905315827,-122.7843452384799
708,40.72146963338547,-120.68577172917944
741,40.40000234074325,-120.481099971377
751,34.75415278477547,-119.06792618369056
756,36.892835287783726,-118.24840077365644
760,38.33528187180143,-122.11887797577916
790,39.41070428808485,-121.17273040045272
833,39.374121414147325,-120.06533426734454
877,38.26703906572731,-122.1252489156226
887,34.7459302766482,-118.50570972524108
901,37.94082692327642,-120.71438137124473
905,35.356695366484814,-118.9586959802034
946,34.15008553080353,-118.08613511806124
950,37.78238801890302,-120.319214852807
951,38.32903530409099,-122.32760833861876
1005,36.6116422194011,-120.49240554077198
1025,37.00312585495814,-119.86719243732348
1038,37.77683743357469,-119.86324875716292
1059,39.25858805043777,-121.06318142442484
1076,34.92368691134829,-116.74499874162136
1078,34.813132499794136,-115.18808066428105
1121,37.65281642256085,-121.06289033376764
1132,36.8177221236196,-121.57536972455136
1148,38.62335263486709,-121.51326976700491
1157,38.88876109614984,-123.36420448649778
1167,36.36614725867716,-119.9179645099641
1191,33.49898945679783,-116.90071025357938
1196,33.074537077193355,-116.558546901088
1201,40.2365873115202,-123.44009710670638
1204,39.280861642441984,-120.01034355907495
1207,39.934145474688975,-120.95229044256696
1211,33.728977273689694,-116.34355610068718
1216,39.35799851325866,-123.638356113951
1261,36.29853596730911,-119.58584621629628
1294,37.39825478711772,-119.84589377627138
1323,38.73917584532676,-121.08419502987424
1326,32.86787537875874,-115.40621459938646
1351,37.28526713887875,-120.3926969122172
1378,34.068788116437815,-117.72356349294316
1410,36.8094398106776,-120.2050421304954
1413,34.71380569975721,-120.4748574735732
1419,41.572558930504265,-124.06956517947016
1424,39.42032380084303,-121.91263002094738
1430,36.262791550911416,-119.10043203023396
1478,38.22131442041532,-119.22880203380744
1490,32.78090981106012,-115.32996045072484
1491,36.40927281594106,-119.4595016444036
1517,32.712996916058096,-114.92348665986832
1538,41.66839720513146,-121.73406780856372
1545,34.91352106517592,-117.20694989268532
1551,34.07679934061457,-118.95146142570044
1593,35.73836421348492,-117.8394687103691
1611,36.56068219323847,-119.42378126785326
1617,39.40644657747367,-122.10652489612184
1625,33.14540753995433,-116.13670466476589
1666,35.15726213972771,-119.41678192022285
1675,38.66712409271263,-122.83658086599571
1691,38.51515552820221,-122.19342642395294
1692,35.35050301673038,-119.04906998521408
1708,41.12600037612849,-123.65468357339536
1762,33.894328950804834,-116.37094069698108
1775,39.14892327480154,-122.25932023283774
1782,40.59535596449476,-124.20863263043748
1789,35.87378585823852,-118.70203989560277
1814,40.67972585240571,-120.28829905546176
1823,33.15945467053598,-117.1265634777242
1859,35.948990135067284,-115.93505736667632
1909,36.42376949644088,-119.73104567710028
1913,38.14484484880363,-121.4000758327719
1935,36.07080316302536,-119.35768879816663
1986,36.62672796743377,-121.01235095309691
2003,39.239467386345865,-121.01043232693551
2008,33.46540900526253,-116.96834156517755
2022,35.10883073337926,-118.96770871692222
2026,35.629781248192515,-117.72298825506093
2041,37.47813678837592,-120.27386723139011
2052,39.23587128594762,-121.63403570251666
2072,40.76346673101561,-122.84508910781446
2080,34.06106684760527,-117.9735435196844
2084,40.43935292098331,-122.66105529837296
2099,36.592984882128825,-121.54305490848635
2100,34.82007499062835,-118.98092763118798
2106,37.88563640088087,-121.84236049907754
2111,35.53979875591168,-120.984867139172
2134,39.50324252481786,-121.52790586251275
2139,38.775967368699085,-119.88059899278328
2144,38.905299413362094,-120.52171649197103
2163,34.58403374346712,-118.67314777990988
2167,37.3642585032276,-119.65773952325505
2184,37.89823052178056,-121.98820207916214
2204,32.67297920940758,-116.77217678767629
2205,40.59744638757832,-121.97612372143742
2207,33.49920789310799,-117.08249284924558
2226,40.634471880552354,-121.97524022821916
2231,35.3036217977676,-120.49483127153798
2259,37.78314861962509,-122.33276850651428
2288,32.671969674641275,-116.33692345512245
2290,37.66497996140719,-120.89826943445972
2292,38.5973863013146,-121.84013377566828
2298,41.55141193414735,-122.90126295174312
2334,38.42022967630259,-121.02757908817368
2350,36.85930451436987,-119.46441185007016
2355,39.659699327597565,-122.03541403781485
2361,34.82193889964181,-118.2635019217398
2387,35.86312856674839,-119.16887042461973
2395,36.13062894781619,-118.8214671195758
2408,39.51048304215048,-122.45504852468218
2434,34.43206972125789,-118.34957340791324
2446,40.53737963387125,-124.07334342975724
2469,38.22921996072541,-122.64104767134675
2474,41.18312341074595,-120.94378874469407
2475,39.10811185405119,-123.17423048908238
2487,38.95497136722647,-123.11262520341232
2507,37.60538588246949,-120.64568032760404
2512,35.5020008068917,-118.99045839714708
2532,39.16423480651064,-122.6439592308691
2534,39.95264136795978,-122.3290846377965
2547,38.258077293471295,-120.36877267796524
2552,38.77404775915195,-120.45094732434772
2564,36.66897632632189,-119.38563101086764
2565,34.47696579528719,-118.6146337232314
2566,39.56799825593283,-120.61157772207338
2570,37.626285136275705,-122.42707298485723
2579,33.67076586533627,-116.68644959206422
2584,37.09815860213546,-120.1442279189434
2596,40.41572400829168,-121.90252079363314
2616,39.79316294399127,-121.49773988663004
2623,35.00787166876484,-117.85694629568508
2640,37.45145262257317,-121.10798924822048
2645,38.246713018804535,-122.64573027069112
2655,38.490775540676815,-122.60331929862936
2656,36.63315492449378,-119.00593399950044
2668,37.487972352235936,-121.1773018721943
2687,35.050921026731295,-116.89165150601808
2690,36.56888497238744,-119.8684178342142
2697,39.04493428667364,-121.80059466750632
2725,35.94383547260928,-119.30373761694264
2741,38.66322437368372,-121.813871580354
2760,39.85601900824683,-122.18632493312803
2771,39.15120470920148,-121.95079242048617
2787,36.60297005891748,-120.3084612704593
2826,37.37303737308826,-121.0451086773132
2837,34.925677193547514,-120.22025972834795
2937,34.081663905575155,-118.17003279560718
2946,36.46755112674598,-118.03621404220256
2953,33.90491021292118,-117.53464126736245
2955,36.97412885104639,-121.99265470749066
2959,41.85931198489863,-122.74898957625358
2977,38.64853944461478,-121.19798594456222
3005,34.568005864437005,-118.04670676382548
3023,35.4815693112699,-118.74616981627052
3027,34.60177923344857,-120.28940708547889
